2024-09-28T22:13:37.667+0100 INFO Forecast for city 1020500PT | 2024-09-28 | Min Temperature:  9,9 | Max Temperature: 25,5 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 11,3 | Max Temperature: 28,2 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,9 | Max Temperature: 30,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 15,5 | Max Temperature: 28,6 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 17,0 | Max Temperature: 27,4 | Precipitation prob: 22,0 | Wind Direction: NW
2024-09-28T22:13:38.658+0100 INFO Forecast for city 1010500PT | 2024-09-28 | Min Temperature: 11,0 | Max Temperature: 21,0 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-29 | Min Temperature: 12,1 | Max Temperature: 21,8 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 14,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 16,5 | Max Temperature: 22,8 | Precipitation prob: 52,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 18,7 | Max Temperature: 22,6 | Precipitation prob: 95,0 | Wind Direction: SW
2024-09-28T22:13:39.660+0100 INFO Forecast for city 1020500PT | 2024-09-28 | Min Temperature:  9,9 | Max Temperature: 25,5 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 11,3 | Max Temperature: 28,2 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,9 | Max Temperature: 30,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 15,5 | Max Temperature: 28,6 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 17,0 | Max Temperature: 27,4 | Precipitation prob: 22,0 | Wind Direction: NW
2024-09-28T22:13:40.660+0100 INFO Forecast for city 1010500PT | 2024-09-28 | Min Temperature: 11,0 | Max Temperature: 21,0 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-29 | Min Temperature: 12,1 | Max Temperature: 21,8 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 14,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 16,5 | Max Temperature: 22,8 | Precipitation prob: 52,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 18,7 | Max Temperature: 22,6 | Precipitation prob: 95,0 | Wind Direction: SW
2024-09-28T22:13:41.659+0100 INFO Forecast for city 1151300PT | 2024-09-28 | Min Temperature: 10,4 | Max Temperature: 21,9 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,5 | Max Temperature: 24,3 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,9 | Max Temperature: 27,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 15,1 | Max Temperature: 22,8 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 16,6 | Max Temperature: 23,0 | Precipitation prob: 36,0 | Wind Direction: NW
2024-09-28T22:13:42.658+0100 INFO Forecast for city 3460200PT | 2024-09-28 | Min Temperature: 20,3 | Max Temperature: 27,0 | Precipitation prob: 98,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 20,0 | Max Temperature: 26,9 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,3 | Max Temperature: 27,8 | Precipitation prob: 94,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 21,6 | Max Temperature: 27,8 | Precipitation prob: 53,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 21,7 | Max Temperature: 27,9 | Precipitation prob: 45,0 | Wind Direction: SW
2024-09-28T22:13:43.662+0100 INFO Forecast for city 3420300PT | 2024-09-28 | Min Temperature: 21,8 | Max Temperature: 25,1 | Precipitation prob: 92,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 21,5 | Max Temperature: 25,5 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,6 | Max Temperature: 25,8 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,7 | Max Temperature: 26,1 | Precipitation prob: 70,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 22,7 | Max Temperature: 26,1 | Precipitation prob: 56,0 | Wind Direction: SW
2024-09-28T22:13:44.658+0100 INFO Forecast for city 1070500PT | 2024-09-28 | Min Temperature:  9,9 | Max Temperature: 26,0 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,3 | Max Temperature: 29,0 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,5 | Max Temperature: 31,7 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 15,0 | Max Temperature: 28,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 16,7 | Max Temperature: 27,8 | Precipitation prob: 34,0 | Wind Direction: NW
2024-09-28T22:13:45.669+0100 INFO Forecast for city 1110600PT | 2024-09-28 | Min Temperature: 12,4 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 13,5 | Max Temperature: 26,9 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-30 | Min Temperature: 15,8 | Max Temperature: 28,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 17,4 | Max Temperature: 26,5 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 19,5 | Max Temperature: 25,5 | Precipitation prob: 45,0 | Wind Direction: NW
2024-09-28T22:13:46.660+0100 INFO Forecast for city 1151300PT | 2024-09-28 | Min Temperature: 10,4 | Max Temperature: 21,9 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,5 | Max Temperature: 24,3 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,9 | Max Temperature: 27,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 15,1 | Max Temperature: 22,8 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 16,6 | Max Temperature: 23,0 | Precipitation prob: 36,0 | Wind Direction: NW
